class	size	virtual_size	raw score (mean)	pval (mean)	raw score (median)	pval (median)	aroc rate	log-3	log-4	log-5	log-6	log-7	log-8
aspartate metabolism(GO:0006531)	4	4	3.876884424	0.20389	4.809668302	0.30723	0.684234288	0.281506813	0.182480293	0.376626963	0.297009483	0.221464771	0.846088534
aspartic-type endopeptidase(GO:0004190)	10	8	3.123051376	0.31255	4.062983893	0.39037	0.566068417	0.154043812	0.064694072	0.379933254	0.419827894	0.566840302	0.71580696
astacin(GO:0008533)	14	11	1.608798793	0.63177	1.241255351	0.83426	0.362168498	0.076744891	0.060436294	0.152046761	0.303126642	0.458083885	0.631404317
ATP biosynthesis(GO:0006754)	24	20	2.758447151	0.37892	1.462335768	0.79252	0.482961399	0.175821762	0.141946419	0.192050894	0.285275738	0.248821657	0.433233142
ATP dependent DNA helicase(GO:0004003)	26	16	3.883262904	0.20272	2.688924592	0.5816	0.61325205	0.119257914	0.033623075	0.063930142	0.055173538	0.378401345	0.350273756
ATP dependent helicase(GO:0008026)	94	76	4.12969505	0.17481	3.315786799	0.49415	0.62144446	3.73E-04	9.88E-07	3.54E-05	3.36E-06	0.001214684	1.88E-04
ATP dependent RNA helicase(GO:0004004)	20	17	4.236182781	0.16312	4.627087997	0.32658	0.661117456	0.013817146	0.001075231	0.028434807	0.004384677	0.220270279	0.35695436
ATP synthesis coupled proton transport(GO:0015986)	5	4	3.299042431	0.28431	3.754914434	0.43046	0.60636889	0.281506813	0.419050518	0.376626963	0.297009483	0.221464771	0.846088534
ATP-binding and phosphorylation-dependent chloride channel(GO:0005224)	8	7	2.003988905	0.53654	0.623370128	0.94171	0.338104988	0.224968422	0.341297905	0.394492294	0.375498315	0.313358572	0.746370111
ATP-binding cassette (ABC) transporter(GO:0004009)	91	74	2.59853137	0.4103	1.688852456	0.74945	0.502681044	0.099524344	0.109652144	0.096189665	0.137174864	0.182415401	0.142767771
autophagy(GO:0006914)	9	7	3.007209848	0.33356	1.703150603	0.74493	0.526591077	0.242883739	0.143855083	0.394492294	0.467959592	0.608543448	0.746370111
auxiliary transport protein(GO:0015457)	24	18	2.399373353	0.45089	1.136935414	0.85409	0.424498848	0.085018116	0.131038978	0.24501467	0.285352303	0.230861473	0.362501824
axon cargo transport(GO:0008088)	8	7	2.091228945	0.51597	0.63457005	0.94009	0.372137437	0.313701777	0.341297905	0.394492294	0.375498315	0.313358572	0.746370111
axon guidance receptor(GO:0008046)	6	4	1.319876234	0.70719	1.457903945	0.79433	0.365549001	0.217273872	0.360618741	0.504282468	0.648012787	0.752941299	0.846088534
axon guidance(GO:0007411)	36	27	2.273008228	0.47646	1.27570782	0.82741	0.438099454	0.139298241	0.170981132	0.210062185	0.246606074	0.292470415	0.323119214
axonogenesis(GO:0007409)	14	9	4.201132086	0.1664	1.682298031	0.74945	0.521811294	0.25067944	0.263484415	0.360186061	0.388677089	0.349649384	0.26383634
ba3-type cytochrome c oxidase(GO:0009482)	13	11	2.105015291	0.51372	1.696117393	0.74765	0.486597509	0.178484366	0.193339748	0.312594921	0.382429718	0.370863671	0.631404317
base-excision repair(GO:0006284)	13	8	3.031169106	0.32843	2.602084312	0.59782	0.54209829	0.265378933	0.307303762	0.379933254	0.385053587	0.566840302	0.71580696
basement lamina(GO:0005605)	8	8	0.647603854	0.89258	0.619763425	0.9432	0.216800169	0.047165683	0.12997312	0.254209358	0.419827894	0.566840302	0.71580696
basement membrane(GO:0005604)	32	25	1.649710602	0.62273	1.128670548	0.85604	0.417998793	0.016504405	0.043006488	0.013776697	0.066194568	0.169334829	0.351368035
basic amino acid transporter(GO:0015174)	6	5	2.53540859	0.42225	2.926010529	0.54415	0.557206502	0.320392215	0.279429595	0.424930531	0.5813859	0.701361285	0.811454522
B-cell activation(GO:0042113)	11	8	4.428537022	0.14511	1.690940751	0.74765	0.531889906	0.265378933	0.178412876	0.248202788	0.154305703	0.085746197	0.0364271
B-cell differentiation(GO:0030183)	6	4	4.207923788	0.1664	1.003424458	0.87698	0.407326029	0.40397385	0.419050518	0.376626963	0.297009483	0.221464771	0.144430828
B-cell receptor(GO:0004892)	35	20	3.338074689	0.27871	2.037754292	0.69046	0.543528347	0.132662053	0.195634893	0.242125513	0.261847466	0.356124843	0.433233142
behavior(GO:0007610)	69	56	2.645428999	0.40075	1.424176195	0.79996	0.492083925	0.090664169	0.028686626	0.143913639	0.169571407	0.207778864	0.270895757
benzodiazepine receptor(GO:0008503)	5	5	2.093235968	0.51597	1.719954582	0.74307	0.549837447	0.344771205	0.279429595	0.424930531	0.5813859	0.701361285	0.811454522
beta DNA polymerase(GO:0003890)	11	10	4.494599536	0.13835	4.396855627	0.35167	0.714253012	0.04643646	0.040586493	0.045966653	0.060909904	0.491798765	0.658373848
beta-catenin binding(GO:0008013)	5	4	2.204427074	0.49206	0.966150202	0.88384	0.408198892	0.40397385	0.360618741	0.504282468	0.648012787	0.752941299	0.846088534
beta-tubulin folding(GO:0007025)	5	4	3.633769245	0.23472	4.387216143	0.3529	0.632915964	0.087136606	0.182480293	0.504282468	0.648012787	0.752941299	0.846088534
bile acid metabolism(GO:0008206)	6	6	1.088833704	0.76998	0.537754781	0.95596	0.296604046	0.282459155	0.216511673	0.358057057	0.521602209	0.653308958	0.778234229
bile acid transport(GO:0015721)	5	4	3.351688683	0.27569	3.613276365	0.44993	0.656242475	0.281506813	0.419050518	0.504282468	0.648012787	0.752941299	0.846088534
bile acid transporter(GO:0015125)	4	4	1.937905095	0.55327	2.675587893	0.58301	0.483325307	0.40397385	0.360618741	0.504282468	0.648012787	0.752941299	0.846088534
binding to mRNA cap(GO:0006441)	7	6	3.137588641	0.3107	1.569983026	0.77323	0.495243256	0.282459155	0.377507532	0.401240846	0.35870215	0.288313959	0.199321761
bioactive lipid receptor(GO:0045125)	9	8	2.572099585	0.41433	3.328892445	0.49287	0.461951939	0.154043812	0.178412876	0.248202788	0.385053587	0.566840302	0.71580696
biogenic amine metabolism(GO:0006576)	27	19	2.767912558	0.37712	0.86235724	0.90051	0.402071999	0.12823207	0.186960742	0.244216865	0.286153923	0.240378343	0.140790777
biotin binding(GO:0009374)	6	4	1.939622255	0.55327	1.624479041	0.76234	0.449253552	0.40397385	0.360618741	0.504282468	0.648012787	0.752941299	0.846088534
biotin carboxylase complex(GO:0009343)	5	4	0.617445686	0.90006	0.313504944	0.98473	0.18986275	0.217273872	0.360618741	0.504282468	0.648012787	0.752941299	0.846088534
biotin carboxylase(GO:0004075)	5	4	0.617445686	0.90006	0.313504944	0.98473	0.18986275	0.217273872	0.360618741	0.504282468	0.648012787	0.752941299	0.846088534
biotin metabolism(GO:0006768)	6	4	1.939622255	0.55327	1.624479041	0.76234	0.449253552	0.40397385	0.360618741	0.504282468	0.648012787	0.752941299	0.846088534
blood coagulation factor(GO:0003801)	18	16	2.357072946	0.45954	0.828715377	0.9074	0.408721666	0.189295291	0.232234913	0.235792387	0.27798792	0.208617799	0.350273756
blood coagulation(GO:0007596)	77	63	1.597767634	0.63437	0.778402823	0.91777	0.360167526	0.009652607	9.88E-05	0.005262201	0.007641404	0.05259655	0.192923864
blood group antigen(GO:0005555)	14	10	1.156973711	0.75043	1.126305729	0.85604	0.340638554	0.021967947	0.078012635	0.180464481	0.33789298	0.491798765	0.658373848
blood pressure regulation(GO:0008217)	20	16	3.053692477	0.32485	2.760412755	0.56902	0.5055085	0.119257914	0.232234913	0.235792387	0.27798792	0.208617799	0.111937032
bombesin receptor(GO:0004946)	4	4	1.839703446	0.57694	2.236052661	0.65297	0.413496268	0.40397385	0.419050518	0.504282468	0.648012787	0.752941299	0.846088534
brain development(GO:0007420)	31	22	2.091874014	0.51597	1.409696632	0.80311	0.419670279	0.076940047	0.071254877	0.094948758	0.231804335	0.339892543	0.374915788
brush border(GO:0005903)	8	7	2.727257092	0.38488	1.972136883	0.69941	0.483835447	0.313701777	0.29738265	0.220866077	0.375498315	0.313358572	0.746370111
bud growth(GO:0007117)	12	5	1.847788103	0.57451	0.997525239	0.87881	0.391426851	0.148319631	0.279429595	0.424930531	0.5813859	0.701361285	0.811454522
C21-steroid hormone biosynthesis(GO:0006700)	10	9	2.605904542	0.40824	1.225183876	0.83754	0.514409241	0.189372578	0.306203869	0.360186061	0.388677089	0.349649384	0.686491811
C21-steroid metabolism(GO:0008207)	10	9	2.605904542	0.40824	1.225183876	0.83754	0.514409241	0.189372578	0.306203869	0.360186061	0.388677089	0.349649384	0.686491811
caa3-type cytochrome c oxidase(GO:0009483)	13	11	2.105015291	0.51372	1.696117393	0.74765	0.486597509	0.178484366	0.193339748	0.312594921	0.382429718	0.370863671	0.631404317
C-acyltransferase(GO:0016408)	7	7	1.597431489	0.63437	2.003840459	0.69524	0.425526058	0.224968422	0.16775483	0.301701015	0.467959592	0.608543448	0.746370111
calcineurin complex(GO:0005955)	6	4	5.878484858	0.05153	5.592609094	0.22765	0.779316157	0.087136606	0.03529256	0.013094319	0.297009483	0.752941299	0.846088534
calcium channel regulator(GO:0005246)	5	5	2.159219564	0.50275	0.702642246	0.92855	0.341240217	0.344771205	0.405945729	0.396759683	0.333134433	0.257900072	0.173170059
calcium channel(GO:0005262)	59	39	3.011276086	0.33176	1.603973359	0.76548	0.50802774	0.102641512	0.149935652	0.164987264	0.165674138	0.151291134	0.139302518
calcium ion homeostasis(GO:0006874)	25	20	2.625983796	0.40445	2.704809085	0.57686	0.521658625	0.082085085	0.141946419	0.242125513	0.261847466	0.241651673	0.433233142
calcium ion storage(GO:0005514)	5	4	1.652703257	0.62012	1.857204121	0.7195	0.364886829	0.217273872	0.360618741	0.504282468	0.648012787	0.752941299	0.846088534
calcium ion transport(GO:0006816)	68	45	2.829462667	0.366	1.586180735	0.76875	0.484000807	0.101598386	0.142022656	0.156093618	0.140047909	0.107826943	0.075199517
calcium ion transporter(GO:0015085)	17	11	3.642142214	0.23339	2.276062684	0.64636	0.535650516	0.231306735	0.142080605	0.163347886	0.075164106	0.029963814	0.063163787
calcium/calmodulin-dependent protein kinase complex(GO:0005954)	17	9	2.551403021	0.41845	0.839696874	0.90564	0.387155497	0.13478182	0.263484415	0.360186061	0.376641551	0.527990371	0.686491811
calcium/calmodulin-dependent protein kinase(GO:0004685)	10	7	1.618907218	0.62941	0.921644698	0.89041	0.350303677	0.224968422	0.16775483	0.301701015	0.467959592	0.608543448	0.746370111
calcium/calmodulin-responsive adenylate cyclase(GO:0008294)	10	10	3.260297907	0.28912	3.84575867	0.41767	0.583915663	0.04643646	0.116637227	0.045966653	0.387485706	0.491798765	0.658373848
calcium:cation antiporter(GO:0015368)	5	4	3.180291352	0.30246	3.641789045	0.44668	0.476522995	0.281506813	0.419050518	0.376626963	0.297009483	0.221464771	0.144430828
calcium-activated potassium channel(GO:0015269)	7	6	2.686556049	0.3928	2.557518663	0.60448	0.576810373	0.282459155	0.377507532	0.358057057	0.521602209	0.653308958	0.778234229
calcium-dependent cell adhesion molecule(GO:0008014)	50	38	1.811650609	0.5814	0.922617558	0.89041	0.372070014	0.029586489	0.012697823	0.010523351	0.016075471	0.067102801	0.203706624
calcium-dependent cytosolic phospholipase A2(GO:0004627)	6	5	2.501133187	0.42819	2.302037859	0.64097	0.55961469	0.320392215	0.405945729	0.424930531	0.5813859	0.701361285	0.811454522
calcium-dependent phospholipid binding(GO:0005544)	16	16	2.162098526	0.50038	1.424718607	0.79996	0.429022486	0.125249343	0.171219079	0.270638553	0.27798792	0.378401345	0.350273756
calcium-dependent secreted phospholipase A2(GO:0004625)	6	5	2.501133187	0.42819	2.302037859	0.64097	0.55961469	0.320392215	0.405945729	0.424930531	0.5813859	0.701361285	0.811454522
calcium-independent cytosolic phospholipase A2(GO:0004628)	7	6	2.692519907	0.39085	3.047255492	0.52931	0.59033799	0.203230125	0.377507532	0.358057057	0.521602209	0.653308958	0.778234229
calcium-release channel(GO:0015278)	9	5	4.623928213	0.12697	2.312442503	0.63919	0.582877784	0.320392215	0.235734836	0.148048042	0.076254843	0.037861784	0.173170059
calcium-transporting ATPase(GO:0005388)	9	7	1.42605002	0.67831	0.664391677	0.93546	0.341993428	0.224968422	0.341297905	0.301701015	0.467959592	0.608543448	0.746370111
calmodulin binding(GO:0005516)	100	77	2.998846265	0.33535	2.224222856	0.65662	0.518444145	0.026442993	0.062949609	0.077757865	0.101076073	0.159576274	0.180526106
calmodulin regulated protein kinase(GO:0004683)	19	16	3.387846588	0.27104	1.247521314	0.83426	0.541528515	0.119257914	0.21921957	0.142939227	0.148499257	0.07142892	0.350273756
calmodulin-dependent protein kinase I(GO:0004684)	7	4	1.690538576	0.61007	0.921644698	0.89041	0.322357332	0.217273872	0.360618741	0.504282468	0.648012787	0.752941299	0.846088534
calpain(GO:0004198)	11	10	2.146677328	0.505	1.743602201	0.73849	0.499698795	0.213920068	0.226844391	0.337242032	0.387485706	0.491798765	0.658373848
cAMP biosynthesis(GO:0006171)	14	13	2.392390788	0.45089	1.19032247	0.84258	0.448262115	0.195385706	0.184964035	0.093756575	0.250107329	0.397418995	0.580725359
cAMP-dependent protein kinase complex(GO:0005952)	19	13	2.532997154	0.42225	1.890679789	0.71094	0.470818924	0.23367431	0.254848143	0.293962103	0.363823576	0.397418995	0.580725359
cAMP-dependent protein kinase(GO:0004691)	61	41	2.653112217	0.39865	1.634132548	0.75948	0.49192252	0.084308499	0.077717213	0.152453992	0.20483357	0.231668751	0.149514604
"cAMP-dependent protein kinase, regulator(GO:0008603)"	11	7	1.500574254	0.65674	0.512605438	0.95924	0.284079765	0.224968422	0.341297905	0.394492294	0.467959592	0.608543448	0.746370111
cAMP-mediated signaling(GO:0019933)	42	30	1.972810876	0.54377	1.266575613	0.82958	0.455877617	0.063641547	0.017375886	0.005837665	0.038418095	0.118633175	0.284935626
cAMP-specific phosphodiesterase(GO:0004115)	4	4	2.511784927	0.42625	2.276113531	0.64636	0.597489766	0.40397385	0.419050518	0.504282468	0.648012787	0.752941299	0.846088534
carbohydrate binding(GO:0030246)	82	67	2.602857176	0.40824	1.608068572	0.76548	0.485834204	0.101775646	0.110094693	0.063842602	0.157911526	0.193776927	0.173455997
carbohydrate biosynthesis(GO:0016051)	43	38	2.339560374	0.46351	1.365266864	0.81153	0.467210246	0.132363537	0.10265487	0.170703521	0.20670535	0.226779063	0.331764727
carbohydrate catabolism(GO:0016052)	49	38	2.661155717	0.39673	1.703881312	0.74493	0.478414817	0.082872203	0.136485694	0.149586681	0.160953378	0.226779063	0.262246343
carbohydrate kinase(GO:0019200)	17	16	2.424660872	0.44461	2.206387	0.66136	0.509992163	0.125249343	0.171219079	0.270638553	0.27798792	0.321125746	0.51221098
carbohydrate phosphatase(GO:0019203)	5	5	1.017192607	0.78967	0.130046426	0.99698	0.259289585	0.148319631	0.279429595	0.424930531	0.5813859	0.701361285	0.811454522
carbohydrate transport(GO:0008643)	27	22	2.469933772	0.43643	2.013342003	0.69443	0.529538873	0.169789265	0.190838135	0.186457443	0.091732235	0.209615788	0.398423208
carbohydrate transporter(GO:0015144)	34	29	3.178867326	0.30405	2.407756604	0.62659	0.580968482	0.117887001	0.090480791	0.188451506	0.23693497	0.185821186	0.220416725
carbonate dehydratase(GO:0004089)	11	11	2.551134745	0.41845	2.185884978	0.66531	0.568053106	0.231306735	0.244778931	0.312594921	0.303126642	0.458083885	0.631404317
carbon-carbon lyase(GO:0016830)	28	23	2.580603903	0.41238	2.052102821	0.6863	0.502389809	0.164485234	0.17216587	0.22508527	0.082280096	0.195224935	0.382078627
"carbon-nitrogen ligase, with glutamine as amido-N-donor(GO:0016884)"	8	5	2.177044406	0.49822	0.816152431	0.90999	0.400240819	0.344771205	0.405945729	0.396759683	0.333134433	0.701361285	0.811454522
carbon-oxygen lyase(GO:0016835)	46	38	2.625101036	0.40445	1.92743764	0.70728	0.496860048	0.106603035	0.125255605	0.170703521	0.149546635	0.256842954	0.262246343
carbon-sulfur lyase(GO:0016846)	6	6	2.000470164	0.53654	1.203747691	0.84082	0.409481374	0.328165729	0.377507532	0.401240846	0.521602209	0.653308958	0.778234229
carboxylesterase(GO:0004091)	5	4	4.273983081	0.15925	4.202040356	0.37338	0.666536239	0.281506813	0.182480293	0.376626963	0.297009483	0.221464771	0.144430828
carboxylic ester hydrolase(GO:0016789)	44	39	2.519081252	0.42625	2.044711859	0.68813	0.524821046	0.136511898	0.149852531	0.074845634	0.141394627	0.252169558	0.326541324
carboxy-lyase(GO:0016831)	18	13	2.237168034	0.48506	1.153685779	0.84988	0.415145419	0.201103679	0.239245702	0.293962103	0.24394728	0.397418995	0.580725359
carboxypeptidase A(GO:0004182)	18	17	2.570242741	0.41433	2.308920277	0.64097	0.540640228	0.204239897	0.222175787	0.241303605	0.282689202	0.374517644	0.491213664
carboxypeptidase(GO:0004180)	22	18	2.319717829	0.46788	1.526005312	0.77993	0.458031838	0.085018116	0.203190298	0.244032928	0.285352303	0.36938792	0.471074674
carnitine O-acyltransferase(GO:0016406)	6	4	1.67428671	0.6146	2.442661255	0.62146	0.407958103	0.40397385	0.360618741	0.504282468	0.648012787	0.752941299	0.846088534
cartilage condensation(GO:0001502)	10	8	2.557808464	0.41845	1.841702336	0.72124	0.510163214	0.285579569	0.12997312	0.254209358	0.419827894	0.566840302	0.71580696
casein kinase I(GO:0004681)	7	4	4.567770665	0.13213	5.063989204	0.2797	0.684715868	0.281506813	0.182480293	0.105386691	0.297009483	0.221464771	0.144430828
casein kinase II complex(GO:0005956)	101	68	2.772661927	0.37518	1.634132548	0.75948	0.497250453	0.085466372	0.055985279	0.13227634	0.105160914	0.090450023	0.085957565
casein kinase II(GO:0004682)	65	42	2.685729286	0.3928	1.690140257	0.74765	0.48838321	0.075514044	0.07023121	0.145807272	0.203123049	0.232412266	0.154453592
casein kinase(GO:0004680)	72	46	2.849385058	0.36234	1.690140257	0.74765	0.505532114	0.093816444	0.106525898	0.161465364	0.184752071	0.182880973	0.079013109
caspase activation(GO:0006919)	14	6	1.565220235	0.64194	0.990243251	0.87881	0.387142742	0.282459155	0.216511673	0.358057057	0.521602209	0.653308958	0.778234229
caspase complex(GO:0008303)	31	17	3.036424888	0.32843	1.256946327	0.83157	0.48957661	0.204239897	0.222175787	0.241303605	0.30824888	0.374517644	0.35695436
caspase(GO:0004199)	27	14	2.601469702	0.40824	1.122861992	0.85604	0.409543326	0.093913563	0.21627846	0.289013723	0.351528707	0.381564386	0.333162915
catabolic carbohydrate metabolism(GO:0006095)	62	48	2.893735433	0.35346	2.139517652	0.67372	0.522873295	0.117214336	0.135978464	0.125115299	0.061243804	0.122242962	0.277191042
catecholamine metabolism(GO:0006584)	9	7	1.755531305	0.59624	1.467048259	0.79252	0.391166704	0.224968422	0.341297905	0.394492294	0.467959592	0.608543448	0.746370111
cation homeostasis(GO:0030003)	59	46	2.873971695	0.35693	2.515787028	0.61073	0.518642935	0.04665117	0.085802248	0.161465364	0.191867872	0.231407775	0.276493652
cation:cation antiporter(GO:0015491)	5	5	4.423319863	0.14511	3.784362437	0.42656	0.735340157	0.034527854	0.235734836	0.148048042	0.333134433	0.257900072	0.811454522
cation:chloride cotransporter(GO:0015377)	7	5	1.272876021	0.71747	1.271384908	0.82741	0.384804335	0.148319631	0.279429595	0.424930531	0.5813859	0.701361285	0.811454522
cation-transporting ATPase(GO:0019829)	26	21	2.255452247	0.48064	1.175596228	0.84595	0.464660566	0.180871432	0.199005111	0.201180067	0.24664989	0.225065449	0.415464835
caveolae(GO:0005901)	8	5	2.257792306	0.48064	0.87446994	0.89871	0.401252258	0.344771205	0.279429595	0.424930531	0.5813859	0.701361285	0.811454522
cbb3-type cytochrome c oxidase(GO:0009485)	13	11	2.105015291	0.51372	1.696117393	0.74765	0.486597509	0.178484366	0.193339748	0.312594921	0.382429718	0.370863671	0.631404317
